title,company,rating,location,descript
Data Scientist,"DriveTime Automotive Group, Inc.",3.3,Tempe,"Partner with business customers to manage data for modeling and analytics.
Ability to understand and interpret results from multiple regression types, gradient…"
Senior Data Scientist,RunBuggy,,Phoenix,"Build data ingestion pipelines and transform data into metrics useful for analytics and modeling.
The ideal candidate will have a minimum of 5 years of…"
QAS3 - Knowledge Graph Data Scientist,Wells Fargo,3.7,Tempe,In particular the knowledge graph data scientist will develop methods to encode triples and chains of triples using graph neural networks and knowledge graph…
Data Scientist,Cyient,3.5,Phoenix,"Prior experience in R or Python and data analytics is preferred.
Identify and manage the analysis and interpretation of clients' internal and external data to…"
Tableau Engineer/Data Scientist- Next Generation Interceptor...,Northrop Grumman,4.0,Chandler,"The ideal candidate shall evaluate, design, develop and implement technical or analytical applications that support transformation of raw data from various data…"
Data Scientist,Ensign Services,2.8,Tempe,"Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc."
Sr. Data Analyst,Home Care Assistance,3.9,Phoenix,"Analyzing daily, weekly and monthly reporting to develop insights that support business leaders and provides transparency on the health of the business."
Senior Data Scientist,Apple,4.2,Mesa,We are looking for an experienced senior data analyst or data scientist comfortable with very large compute data sets from multiple sources!
Remote Senior Data Scientist,Kforce,3.8,Phoenix,"Deep knowledge of fundamentals or machine learning, data mining and statistical predictive modeling, and extensive experience applying these methods to real…"
Sports Statistician,Life Time,3.5,Gilbert,"Tracks all relevant statistics during games.
Works closely with League Coordinator to ensure member satisfaction.
High School Diploma or GED."
Game Night Stat Crew Statistician,Phoenix Suns / Sports & Entertainment...,,Phoenix,"Validate stats with NGSS program and official scorer throughout game to ensure accuracy.
Must be able to work in a fast-paced and high-pressure environment."
Data Scientist,Deloitte,4.0,Gilbert,"Perform multiple forms of advanced analyses, sustainment, optimization, text analytics, machine learning, parametric and non-parametric statistical models and…"
Data Scientist I,Republic Services Inc,3.1,Phoenix,"Participates in end-to-end data science project lifecycle – data mining and exploration, model development and evaluation, solution deployment in production,…"
Senior Data Analyst,Aston Carter,3.2,Phoenix,"Use SQL to analyze source data, identify data quality issues and understand how the data matches business processes.
Sr. Data Analyst - 100% remote!"
Data Scientist - remote,Pearson,3.7,Phoenix,"The Data Scientist will be involved in all things analytics; leveraging statistics, machine learning methods, cloud engineering, and business intelligence tools…"
Data Analyst Senior,Arizona State University,4.2,Tempe,"Collaborate with business partners to identify appropriate data sources and data elements required for analytics, applying professional skepticism when…"
Sr. Optimization Data Scientist,Circle K,3.3,Tempe,"Well versed in AI/data science landscape of technology tools, platforms and related service provider ecosystem.
Deep understanding of OR and optimization."
